drugbank_id,reaction_id,sequence,left_element_drug_id,left_element_name,right_element_drug_id,right_element_name
DB00126,DB00126_rxn_2,2,DBMET03074,Dehydroascorbate,DBMET03075,"2,3-dikeogulonic acid"
DB00126,DB00126_rxn_3,3,DBMET03075,"2,3-dikeogulonic acid",DBMET00552,Oxalic acid
DB00126,DB00126_rxn_4,3,DBMET03075,"2,3-dikeogulonic acid",DBMET03076,Threosone
DB00126,DB00126_rxn_5,3,DBMET03075,"2,3-dikeogulonic acid",DBMET03077,Erythrulose
DB00129,DB00129_rxn_0,1,DB00129,Ornithine,DBMET00502,L-Arginine
DB00129,DB00129_rxn_1,1,DB00129,Ornithine,DBMET00494,Proline
DB00130,DB00130_rxn_0,1,DB00130,L-Glutamine,DBMET02102,Glutamate
DB00130,DB00130_rxn_1,2,DBMET02102,Glutamate,DBMET03078,α-ketoglutarate
DB00130,DB00130_rxn_2,2,DBMET02102,Glutamate,DBMET03079,1-pyrroline-5-carboxylic acid
DB00130,DB00130_rxn_3,3,DBMET03079,1-pyrroline-5-carboxylic acid,DBMET00494,Proline
DB00130,DB00130_rxn_4,3,DBMET03079,1-pyrroline-5-carboxylic acid,DB00129,Ornithine
DB00136,DB00136_rxn_0,1,DB00136,Calcitriol,DBMET00575,Calcitroic acid
DB00145,DB00145_rxn_0,1,DB00145,Glycine,DB01828,Methylamine
DB00145,DB00145_rxn_1,2,DB01828,Methylamine,DBMET03082,Dihydrolipoamide
DB00145,DB00145_rxn_2,3,DBMET03082,Dihydrolipoamide,DB00166,Lipoic acid
DB00153,DB00153_rxn_0,1,DB00153,Ergocalciferol,DBMET02434,25-hydroxyvitamin D
DB00153,DB00153_rxn_1,1,DB00153,Ergocalciferol,DBMET02436,"24(R),25dihydroxyvitamin D"
DB00153,DB00153_rxn_2,1,DB00153,Ergocalciferol,DBMET02437,beta-ergocalciferol
DB00153,DB00153_rxn_3,1,DB00153,Ergocalciferol,DBMET02438,20-hydroxyvitamin D
DB00153,DB00153_rxn_4,2,DBMET02434,25-hydroxyvitamin D,DBMET02435,Calcitrol
DB00158,DB00158_rxn_0,1,DB00158,Folic acid,DBMET02314,Dihydrofolate (DHF)
DB00158,DB00158_rxn_1,1,DB00158,Folic acid,DB00116,Tetrahydrofolic acid
DB00158,DB00158_rxn_2,2,DB00116,Tetrahydrofolic acid,DBMET02316,"5,10-methylene tetrahydrofolate (THF)"
DB00158,DB00158_rxn_3,3,DBMET02316,"5,10-methylene tetrahydrofolate (THF)",DBMET00528,5-Methyltetrahydrofolate
DB00158,DB00158_rxn_4,4,DBMET00528,5-Methyltetrahydrofolate,DBMET00506,Methionine
DB00162,DB00162_rxn_0,1,DB00162,Vitamin A,DBMET01736,All-trans-retinal
DB00163,DB00163_rxn_0,1,DB00163,Vitamin E,DBMET02310,13'-hydroxy-alpha-tocopherol
DB00163,DB00163_rxn_1,2,DBMET02310,13'-hydroxy-alpha-tocopherol,DBMET02311,13'-carboxy-alpha-tocopherol
DB00163,DB00163_rxn_2,3,DBMET02311,13'-carboxy-alpha-tocopherol,DBMET02320,alpha-carboxydimethyldecadienylhydroxychromanol
DB00163,DB00163_rxn_3,4,DBMET02320,alpha-carboxydimethyldecadienylhydroxychromanol,DBMET02321,alpha-carboxydimethyloctenylhydroxychromanol
DB00163,DB00163_rxn_4,5,DBMET02321,alpha-carboxydimethyloctenylhydroxychromanol,DBMET02322,alpha-carboxydimethylhexylhydroxychromanol
DB00163,DB00163_rxn_5,6,DBMET02322,alpha-carboxydimethylhexylhydroxychromanol,DBMET02323,alpha-caboxymethylbutylhydroxychromanol
DB00163,DB00163_rxn_6,7,DBMET02323,alpha-caboxymethylbutylhydroxychromanol,DBMET02324,alpha-carboxyethylhydroxychromanol
DB00169,DB00169_rxn_0,1,DB00169,Cholecalciferol,DBMET00609,"(23S)-23,25-dihdroxy-24-oxovitamine D3 23-(beta-glucuronide)"
DB00169,DB00169_rxn_1,1,DB00169,Cholecalciferol,DB00146,Calcifediol
DB00169,DB00169_rxn_2,2,DB00146,Calcifediol,DB00136,Calcitriol
DB00175,DB00175_rxn_0,1,DB00175,Pravastatin,DBMET02469,3-alpha-isopravastatin
DB00175,DB00175_rxn_1,1,DB00175,Pravastatin,DBMET02472,6-epi-pravastatin
DB00175,DB00175_rxn_2,1,DB00175,Pravastatin,DBMET02473,Triol pravastatin
DB00175,DB00175_rxn_3,1,DB00175,Pravastatin,DBMET02475,pravastatin glucuronide
DB00175,DB00175_rxn_4,1,DB00175,Pravastatin,DBMET02476,3'(S)-hydroxy-pravastatin-tetranor
DB00175,DB00175_rxn_5,1,DB00175,Pravastatin,DBMET02478,3'(S)-hydroxy-pravastatin
DB00175,DB00175_rxn_6,1,DB00175,Pravastatin,DBMET02479,Desacylpravastatin
DB00175,DB00175_rxn_7,2,DBMET02469,3-alpha-isopravastatin,DBMET02470,"5,6-epoxy-3-alpha-isopravastatin"
DB00175,DB00175_rxn_8,2,DBMET02469,3-alpha-isopravastatin,DBMET02471,7-hydroxy-3-alpha-isopravastatin
DB00175,DB00175_rxn_9,2,DBMET02473,Triol pravastatin,DBMET02474,"3-keto-5,6-diol pravastatin"
DB00175,DB00175_rxn_10,2,DBMET02476,3'(S)-hydroxy-pravastatin-tetranor,DBMET02477,3'(S)-hydroxy-pravastatin-tetranor glucuronide
DB00175,DB00175_rxn_11,2,DBMET02478,3'(S)-hydroxy-pravastatin,DBMET02476,3'(S)-hydroxy-pravastatin-tetranor
DB00176,DB00176_rxn_0,1,DB00176,Fluvoxamine,DBMET01673,Fluvoxamino alcohol
DB00176,DB00176_rxn_1,1,DB00176,Fluvoxamine,DBMET00250,fluvoxamino acid
DB00177,DB00177_rxn_0,1,DB00177,Valsartan,DBMET00011,Valeryl-4-hydroxyvalsartan
DB00178,DB00178_rxn_0,1,DB00178,Ramipril,DBMET00841,Diketopiperazine acid
DB00178,DB00178_rxn_1,1,DB00178,Ramipril,DBMET00842,Diketopiperazine ester
DB00178,DB00178_rxn_2,1,DB00178,Ramipril,DBMET00995,Ramiprilat
DB00181,DB00181_rxn_0,1,DB00181,Baclofen,DBMET02215,β-(p-chlorophenyl)-4-hydroxybutyric acid
DB00182,DB00182_rxn_0,1,DB00182,Amphetamine,DBMET00733,4-hydroxyamphetamine
DB00182,DB00182_rxn_1,1,DB00182,Amphetamine,DBMET00540,Norephedrine
DB00182,DB00182_rxn_2,1,DB00182,Amphetamine,DBMET02222,Phenylacetone
DB00182,DB00182_rxn_3,2,DBMET00733,4-hydroxyamphetamine,DBMET01018,4-Hydroxynorephedrine
DB00182,DB00182_rxn_4,2,DBMET02222,Phenylacetone,DBMET01437,Benzoic acid
DB00182,DB00182_rxn_5,3,DBMET01437,Benzoic acid,DBMET00507,Hippuric acid
DB00184,DB00184_rxn_0,1,DB00184,Nicotine,DBMET00515,N-Methylnicotinium
DB00184,DB00184_rxn_1,1,DB00184,Nicotine,DBMET00516,Nicotine imine
DB00184,DB00184_rxn_2,1,DB00184,Nicotine,DBMET00519,Cotinine
DB00184,DB00184_rxn_3,1,DB00184,Nicotine,DBMET00520,Nornicotine
DB00184,DB00184_rxn_4,1,DB00184,Nicotine,DBMET00524,Nicotine glucuronide
DB00184,DB00184_rxn_5,1,DB00184,Nicotine,DBMET00526,Norcotinine
DB00184,DB00184_rxn_6,1,DB00184,Nicotine,DBMET00533,Nicotine-1'-N-oxide
DB00184,DB00184_rxn_7,1,DB00184,Nicotine,DBMET00613,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone
DB00184,DB00184_rxn_8,1,DB00184,Nicotine,DBMET00643,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol
DB00184,DB00184_rxn_9,1,DB00184,Nicotine,DBMET01717,"(S)-Nicotine delta-1',5'-iminium ion"
DB00184,DB00184_rxn_10,1,DB00184,Nicotine,DBMET01718,2'-Hydroxynicotine
DB00184,DB00184_rxn_11,2,DBMET00516,Nicotine imine,DBMET00519,Cotinine
DB00184,DB00184_rxn_12,2,DBMET00519,Cotinine,DBMET00529,Cotinine N-oxide
DB00184,DB00184_rxn_13,2,DBMET00519,Cotinine,DBMET00527,3'-Hydroxycotinine
DB00184,DB00184_rxn_14,2,DBMET00519,Cotinine,DBMET00520,Nornicotine
DB00184,DB00184_rxn_15,2,DBMET00519,Cotinine,DBMET00533,Nicotine-1'-N-oxide
DB00184,DB00184_rxn_16,2,DBMET00519,Cotinine,DBMET00517,Cotinine glucuronide
DB00185,DB00185_rxn_0,1,DB00185,Cevimeline,DBMET00430,cevimeline trans-sulfoxide
DB00185,DB00185_rxn_1,1,DB00185,Cevimeline,DBMET00431,cevimeline cis-sulfoxide
DB00185,DB00185_rxn_2,1,DB00185,Cevimeline,DBMET00432,cevimeline cis-sulfoxidation
DB00185,DB00185_rxn_3,1,DB00185,Cevimeline,DBMET00433,cevimeline N-oxide
DB00185,DB00185_rxn_4,1,DB00185,Cevimeline,DBMET00488,Glucuronic acid
DB00186,DB00186_rxn_0,1,DB00186,Lorazepam,DBMET00648,Lorazepam glucuronide
DB00187,DB00187_rxn_0,1,DB00187,Esmolol,DBMET00536,Methanol
DB00188,DB00188_rxn_0,1,DB00188,Bortezomib,DBMET01061,Bortezomib metabolite M1
DB00188,DB00188_rxn_1,1,DB00188,Bortezomib,DBMET01062,Bortezomib metabolite M2
DB00188,DB00188_rxn_2,1,DB00188,Bortezomib,DBMET01081,Bortezomib metabolite M34
DB00188,DB00188_rxn_3,1,DB00188,Bortezomib,DBMET01122,Bortezomib metabolite M23 or M24 (1)
DB00188,DB00188_rxn_4,1,DB00188,Bortezomib,DBMET01124,Bortezomib metabolite M23 or M24 (2)
DB00188,DB00188_rxn_5,2,DBMET01061,Bortezomib metabolite M1,DBMET01063,Bortezomib metabolite M3
DB00188,DB00188_rxn_6,2,DBMET01062,Bortezomib metabolite M2,DBMET01063,Bortezomib metabolite M3
DB00188,DB00188_rxn_7,2,DBMET01061,Bortezomib metabolite M1,DBMET01065,Bortezomib metabolite M5
DB00188,DB00188_rxn_8,2,DBMET01062,Bortezomib metabolite M2,DBMET01066,Bortezomib metabolite M6
DB00188,DB00188_rxn_9,2,DBMET01062,Bortezomib metabolite M2,DBMET01067,Bortezomib metabolite M8
DB00188,DB00188_rxn_10,2,DBMET01061,Bortezomib metabolite M1,DBMET01082,Bortezomib metabolite M25
DB00188,DB00188_rxn_11,2,DBMET01061,Bortezomib metabolite M1,DBMET01084,Bortezomib metabolite M26
DB00188,DB00188_rxn_12,2,DBMET01062,Bortezomib metabolite M2,DBMET01085,Bortezomib metabolite M27
DB00188,DB00188_rxn_13,2,DBMET01062,Bortezomib metabolite M2,DBMET01086,Bortezomib metabolite M28
DB00188,DB00188_rxn_14,3,DBMET01063,Bortezomib metabolite M3,DBMET01064,Bortezomib metabolite M4
DB00188,DB00188_rxn_15,3,DBMET01067,Bortezomib metabolite M8,DBMET01068,Bortezomib metabolite M33
DB00190,DB00190_rxn_0,1,DB00190,Carbidopa,DBMET00637,"3,4-Dihydroxyphenylacetone"
DB00190,DB00190_rxn_1,1,DB00190,Carbidopa,DBMET00698,3-(3-hydroxyphenyl)-2-methyllactic acid
DB00190,DB00190_rxn_2,1,DB00190,Carbidopa,DBMET00699,3-(3-hydroxyphenyl)-2-methylpropionic acid
DB00190,DB00190_rxn_3,1,DB00190,Carbidopa,DBMET00700,"3-(3,4-dihydroxyphenyl)-2-methylpropionic acid"
DB00190,DB00190_rxn_4,1,DB00190,Carbidopa,DBMET00701,3-(4-hydroxy-3-methoxyphenyl)-2-methyllactic acid
DB00190,DB00190_rxn_5,1,DB00190,Carbidopa,DBMET00702,3-(4-hydroxy-3-methoxyphenyl)-2-methylpropionic acid
DB00191,DB00191_rxn_0,1,DB00191,Phentermine,DBMET02227,p-hydroxyphentermine
DB00191,DB00191_rxn_1,1,DB00191,Phentermine,DBMET02228,N-hydroxyphentermine
DB00191,DB00191_rxn_2,2,DBMET02228,N-hydroxyphentermine,DBMET02229,Nitrophentermine
DB00193,DB00193_rxn_0,1,DB00193,Tramadol,DBMET00324,O-Desmethyltramadol
DB00193,DB00193_rxn_1,1,DB00193,Tramadol,DBMET00343,N-Desmethyltramadol
DB00193,DB00193_rxn_2,2,DBMET00324,O-Desmethyltramadol,DBMET00966,O-Desmethyl-tramado glucuronide
DB00193,DB00193_rxn_3,2,DBMET00324,O-Desmethyltramadol,DBMET00957,"N,O-didesmethyltramadol"
DB00193,DB00193_rxn_4,2,DBMET00343,N-Desmethyltramadol,DBMET00957,"N,O-didesmethyltramadol"
DB00193,DB00193_rxn_5,2,DBMET00343,N-Desmethyltramadol,DBMET00954,"N,N-didesmethyltramadol"
DB00193,DB00193_rxn_6,3,DBMET00957,"N,O-didesmethyltramadol",DBMET00956,"N,N,O-tridesmethyl-tramadol"
DB00193,DB00193_rxn_7,3,DBMET00954,"N,N-didesmethyltramadol",DBMET00956,"N,N,O-tridesmethyl-tramadol"
DB00196,DB00196_rxn_0,1,DB00196,Fluconazole,DBMET03500,"O-Glucuronidated metabolite, Fluconazole"
DB00196,DB00196_rxn_1,1,DB00196,Fluconazole,DBMET02520,Fluconazole N-oxide
DB00198,DB00198_rxn_0,1,DB00198,Oseltamivir,DBMET02218,Oseltamivir carboxylate
DB00199,DB00199_rxn_0,1,DB00199,Erythromycin,DBMET01656,N-Desmethylerythromycin
DB00201,DB00201_rxn_0,1,DB00201,Caffeine,DB01412,Theobromine
DB00201,DB00201_rxn_1,1,DB00201,Caffeine,DB00277,Theophylline
DB00201,DB00201_rxn_2,1,DB00201,Caffeine,DBMET00222,"1,3,7-Trimethyluric acid"
DB00201,DB00201_rxn_3,1,DB00201,Caffeine,DBMET00223,"1,7-dimethylxanthine"
DB00201,DB00201_rxn_4,2,DBMET00223,"1,7-dimethylxanthine",DBMET00611,"1,7-Dimethyluric acid"
DB00201,DB00201_rxn_5,2,DB00277,Theophylline,DBMET00271,1-Methylxanthine
DB00201,DB00201_rxn_6,2,DBMET00223,"1,7-dimethylxanthine",DBMET00612,5-Acetylamino-6-formylamino-3-methyluracil
DB00201,DB00201_rxn_7,2,DBMET00223,"1,7-dimethylxanthine",DBMET00271,1-Methylxanthine
DB00201,DB00201_rxn_8,3,DBMET00271,1-Methylxanthine,DBMET00560,1-Methyluric acid
DB00202,DB00202_rxn_0,1,DB00202,Succinylcholine,DBMET03338,Succinylmonocholine
DB00202,DB00202_rxn_1,2,DBMET03338,Succinylmonocholine,DBMET01477,Succinic Acid
DB00202,DB00202_rxn_2,2,DBMET03338,Succinylmonocholine,DB00122,Choline
DB00203,DB00203_rxn_0,1,DB00203,Sildenafil,DBMET01744,N-Desmethyl sildenafil
DB00203,DB00203_rxn_1,1,DB00203,Sildenafil,DBMET00182,"N-Desmethyl sildenafil (UK-103,320)"
DB00208,DB00208_rxn_0,1,DB00208,Ticlopidine,DBMET00091,2-Chloroticlopidine
DB00208,DB00208_rxn_1,1,DB00208,Ticlopidine,DBMET00092,2-Oxoticlopidine
DB00208,DB00208_rxn_2,1,DB00208,Ticlopidine,DBMET00093,Thienodihydropyridinium
DB00208,DB00208_rxn_3,1,DB00208,Ticlopidine,DBMET00094,Ticlopidine S-oxide
DB00208,DB00208_rxn_4,1,DB00208,Ticlopidine,DBMET00095,Dehydrogenated ticlopidine
DB00208,DB00208_rxn_5,1,DB00208,Ticlopidine,DBMET00096,Ticlopidine N-oxide
DB00208,DB00208_rxn_6,1,DB00208,Ticlopidine,DBMET00097,di-Hydroxyticlopidine
DB00208,DB00208_rxn_7,1,DB00208,Ticlopidine,DBMET00618,7-Hydroxyticlopidine
DB00208,DB00208_rxn_8,2,DBMET00092,2-Oxoticlopidine,DBMET01202,Active metabolite of Ticlopidine
DB00208,DB00208_rxn_9,2,DBMET00094,Ticlopidine S-oxide,DBMET01207,Ticlopidine S-oxide dimer
DB00208,DB00208_rxn_10,2,DBMET00093,Thienodihydropyridinium,DBMET01208,Thienopyridinium
DB00208,DB00208_rxn_11,2,DBMET00093,Thienodihydropyridinium,DBMET01209,Ticlopidine lactam analog (M8)
DB00211,DB00211_rxn_0,1,DB00211,Midodrine,DBMET00829,desglymidodrine
DB00213,DB00213_rxn_0,1,DB00213,Pantoprazole,DBMET02219,desmethylpantoprazole
DB00213,DB00213_rxn_1,1,DB00213,Pantoprazole,DBMET02221,Pantoprazole sulfate
DB00213,DB00213_rxn_2,1,DB00213,Pantoprazole,DBMET02220,Pantoprazole sulfone
DB00214,DB00214_rxn_0,1,DB00214,Torasemide,DBMET00297,Torasemide M1 (hydroxytorsemide)
DB00214,DB00214_rxn_1,1,DB00214,Torasemide,DBMET02231,Torasemide M4
DB00214,DB00214_rxn_2,1,DB00214,Torasemide,DBMET02232,Torasemide M2
DB00214,DB00214_rxn_3,1,DB00214,Torasemide,DBMET02233,Torasemide M3
DB00214,DB00214_rxn_4,2,DBMET00297,Torasemide M1 (hydroxytorsemide),DBMET02230,Torasemide M5
DB00215,DB00215_rxn_0,1,DB00215,Citalopram,DBMET03704,desmethylcitalopram
DB00215,DB00215_rxn_1,1,DB00215,Citalopram,DBMET03706,Citalopram propionic aldehyde
DB00215,DB00215_rxn_2,1,DB00215,Citalopram,DBMET03708,citalopram N-oxide
DB00215,DB00215_rxn_3,2,DBMET03704,desmethylcitalopram,DBMET03705,didemethylcitalopram
DB00215,DB00215_rxn_4,2,DBMET03704,desmethylcitalopram,DBMET03706,Citalopram propionic aldehyde
DB00215,DB00215_rxn_5,2,DBMET03706,Citalopram propionic aldehyde,DBMET03707,Citalopram propionic acid
DB00215,DB00215_rxn_6,3,DBMET03705,didemethylcitalopram,DBMET03706,Citalopram propionic aldehyde
DB00215,DB00215_rxn_7,3,DBMET03706,Citalopram propionic aldehyde,DBMET03707,Citalopram propionic acid
DB00215,DB00215_rxn_8,4,DBMET03706,Citalopram propionic aldehyde,DBMET03707,Citalopram propionic acid
DB00216,DB00216_rxn_0,1,DB00216,Eletriptan,DBMET00088,N-Desmethyleletriptan
DB00216,DB00216_rxn_1,1,DB00216,Eletriptan,DBMET00089,Eletriptan N-oxide
DB00220,DB00220_rxn_0,1,DB00220,Nelfinavir,DBMET01800,Nelfinavir hydroxyl-t- butylamide
DB00220,DB00220_rxn_1,1,DB00220,Nelfinavir,DBMET01801,"3,4-Dihydroxynelfinavir"
DB00222,DB00222_rxn_0,1,DB00222,Glimepiride,DBMET01326,Cyclohexyl hydroxymethyl glimepiride
DB00222,DB00222_rxn_1,2,DBMET01326,Cyclohexyl hydroxymethyl glimepiride,DBMET01327,Cyclohexyl carboxyl glimepiride
DB00224,DB00224_rxn_0,1,DB00224,Indinavir,DBMET00373,Metabolite M6
DB00227,DB00227_rxn_0,1,DB00227,Lovastatin,DBMET02237,6'-exomethylene lovastatin
DB00227,DB00227_rxn_1,1,DB00227,Lovastatin,DBMET01698,6'beta-Hydroxylovastatin
DB00227,DB00227_rxn_2,1,DB00227,Lovastatin,DBMET01699,3''-Hydroxylovastatin
DB00228,DB00228_rxn_0,1,DB00228,Enflurane,DBMET01560,"2-(difluoromethoxy)-2,2-difluoroacetyl fluoride"
DB00230,DB00230_rxn_0,1,DB00230,Pregabalin,DBMET01540,N-methylpregabalin
DB00231,DB00231_rxn_0,1,DB00231,Temazepam,DBMET00246,Oxazepam
DB00231,DB00231_rxn_1,1,DB00231,Temazepam,DBMET00650,Oxazepam glucuronide
DB00238,DB00238_rxn_0,1,DB00238,Nevirapine,DBMET00074,12-Hydroxynevirapine
DB00238,DB00238_rxn_1,1,DB00238,Nevirapine,DBMET00075,2-Hydroxynevirapine
DB00238,DB00238_rxn_2,1,DB00238,Nevirapine,DBMET00076,8-Hydroxynevirapine
DB00238,DB00238_rxn_3,1,DB00238,Nevirapine,DBMET00077,3-Hydroxynevirapine
DB00238,DB00238_rxn_4,1,DB00238,Nevirapine,DBMET01713,2-OH-nevirapine
DB00238,DB00238_rxn_5,1,DB00238,Nevirapine,DBMET01714,8-OH-nevirapine
DB00238,DB00238_rxn_6,1,DB00238,Nevirapine,DBMET01715,3-OH-nevirapine
DB00238,DB00238_rxn_7,1,DB00238,Nevirapine,DBMET01716,12-OH-nevirapine
DB00238,DB00238_rxn_8,2,DBMET00074,12-Hydroxynevirapine,DBMET00669,12-hydroxynevirapine glucuronide
DB00238,DB00238_rxn_9,2,DBMET00074,12-Hydroxynevirapine,DBMET00727,4-carboxynevirapine
DB00238,DB00238_rxn_10,2,DBMET00075,2-Hydroxynevirapine,DBMET00685,2-hydroxynevirapine glucuronide
DB00238,DB00238_rxn_11,2,DBMET00076,8-Hydroxynevirapine,DBMET00779,8-hydroxynevirapine glucuronide
DB00238,DB00238_rxn_12,2,DBMET00077,3-Hydroxynevirapine,DBMET00712,3-hydroxynevirapine glucuronide
DB00241,DB00241_rxn_0,1,DB00241,Butalbital,DBMET02453,"5-isobutyl-5-(2,3-dihydroxypropyl) barbituric acid"
DB00241,DB00241_rxn_1,1,DB00241,Butalbital,DBMET02454,5-allyl-5-(3-hydroxy-2-methyl-1-propyl) barbituric acid
DB00242,DB00242_rxn_0,1,DB00242,Cladribine,DBMET03774,Cladribine 5'-monophosphate
DB00242,DB00242_rxn_1,2,DBMET03774,Cladribine 5'-monophosphate,DBMET03775,Cladribine diphosphate
DB00242,DB00242_rxn_2,3,DBMET03775,Cladribine diphosphate,DBMET00677,Cladribine triphosphate
DB00243,DB00243_rxn_0,1,DB00243,Ranolazine,DBMET02254,CVT-3388
DB00243,DB00243_rxn_1,1,DB00243,Ranolazine,DBMET02256,CVT-5029
DB00243,DB00243_rxn_2,1,DB00243,Ranolazine,DBMET02242,RS-88390 (CVT-2514)
DB00243,DB00243_rxn_3,1,DB00243,Ranolazine,DBMET02245,CVT-2534
DB00243,DB00243_rxn_4,1,DB00243,Ranolazine,DBMET02244,CVT-2738
DB00243,DB00243_rxn_5,1,DB00243,Ranolazine,DBMET02247,CVT-2513
DB00243,DB00243_rxn_6,1,DB00243,Ranolazine,DBMET02248,CVT-2535
DB00243,DB00243_rxn_7,1,DB00243,Ranolazine,DBMET02249,CVT-2512
DB00243,DB00243_rxn_8,1,DB00243,Ranolazine,DBMET02250,CVT-3369
DB00243,DB00243_rxn_9,1,DB00243,Ranolazine,DBMET02252,CVT-2551
DB00243,DB00243_rxn_10,2,DBMET02254,CVT-3388,DBMET02255,CVT-3389
DB00243,DB00243_rxn_11,2,DBMET02252,CVT-2551,DBMET02947,CVT-3248
DB00243,DB00243_rxn_12,2,DBMET02242,RS-88390 (CVT-2514),DBMET02243,Ranolazine M1
DB00243,DB00243_rxn_13,2,DBMET02248,CVT-2535,DBMET02251,CVT-2537
DB00244,DB00244_rxn_0,1,DB00244,Mesalazine,DBMET00924,N-acetyl-5-ASA (Ac-5-ASA)
DB00245,DB00245_rxn_0,1,DB00245,Benzatropine,DBMET02257,Benztropine-N-oxide
DB00245,DB00245_rxn_1,1,DB00245,Benzatropine,DBMET02259,4'-hydroxybenztropine
DB00245,DB00245_rxn_2,1,DB00245,Benzatropine,DBMET02260,N-desmethylbenztropine
DB00245,DB00245_rxn_3,2,DBMET02257,Benztropine-N-oxide,DBMET02258,4'-hydroxybenztropine-N-oxide
DB00245,DB00245_rxn_4,2,DBMET02260,N-desmethylbenztropine,DBMET02261,N-desmethyl-4'-hydroxy benztropine
DB00246,DB00246_rxn_0,1,DB00246,Ziprasidone,DBMET02984,Ziprasidone Sulfoxide
DB00246,DB00246_rxn_1,1,DB00246,Ziprasidone,DBMET02986,"(6-chloro-2-oxo-2,3-dihydro-1H-indol-5-yl)acetic acid"
DB00246,DB00246_rxn_2,1,DB00246,Ziprasidone,DBMET02989,"3-(piperazine-1-yl)-1,2-benzisothiazole"
DB00246,DB00246_rxn_3,1,DB00246,Ziprasidone,DBMET02993,S-Methyl-dihydro-ziprasidone
DB00246,DB00246_rxn_4,1,DB00246,Ziprasidone,DBMET02995,"6-chloro-5-(2-piperazin-1-yl-ethyl)-1,3-dihydro-indol-2-one"
DB00246,DB00246_rxn_5,1,DB00246,Ziprasidone,DBMET02996,dihydro-ziprasidone-sulfone
DB00246,DB00246_rxn_6,2,DBMET02984,Ziprasidone Sulfoxide,DBMET02985,Ziprasidone Sulfone
DB00246,DB00246_rxn_7,2,DBMET02986,"(6-chloro-2-oxo-2,3-dihydro-1H-indol-5-yl)acetic acid",DBMET02988,"(6-chloro-2-oxo-2,3-dihydro-1H-indol-5-yl)acetic acid glucuronide"
DB00246,DB00246_rxn_8,2,DBMET02989,"3-(piperazine-1-yl)-1,2-benzisothiazole",DBMET02990,"3-(piperazine-1-yl)-1,2-benzisothiazole sulfoxide"
DB00246,DB00246_rxn_9,2,DBMET02993,S-Methyl-dihydro-ziprasidone,DBMET02994,S-Methyl-dihydro-ziprasidone-sulfoxide
DB00246,DB00246_rxn_10,3,DBMET02990,"3-(piperazine-1-yl)-1,2-benzisothiazole sulfoxide",DBMET02991,"3-(piperazine-1-yl)-1,2-benzisothiazole sulfone"
DB00246,DB00246_rxn_11,4,DBMET02991,"3-(piperazine-1-yl)-1,2-benzisothiazole sulfone",DBMET02992,"3-(piperazine-1-yl)-1,2-benzisothiazole sulfone lactam"
DB00248,DB00248_rxn_0,1,DB00248,Cabergoline,DBMET00757,6-allyl-8b-carboxy-ergoline
DB00250,DB00250_rxn_0,1,DB00250,Dapsone,DBMET00301,dapsone hydroxylamine
DB00250,DB00250_rxn_1,1,DB00250,Dapsone,DBMET00014,Monoacetyldapsone
DB00250,DB00250_rxn_2,2,DBMET00301,dapsone hydroxylamine,DBMET01043,Nitroso-dapsone
DB00250,DB00250_rxn_3,3,DBMET01043,Nitroso-dapsone,DBMET01045,Dapsone mercaptal intermediate
