drugbank_id,name,cas_number,unii
DB00162,Vitamin A acetate,127-47-9,3LE3D9D6OY
DB00162,Vitamin A palmitate,79-81-2,1D1K0N0VVC
DB00165,Pyridoxine hydrochloride,58-56-0,68Y4CF58BV
DB00171,Adenosine triphosphate disodium,987-65-5,5L51B4DR1G
DB00171,Adenosine triphosphate disodium trihydrate,51963-61-2,7ZRM409FOZ
DB00173,Adenine hydrochloride,2922-28-3,364H11M7OD
DB00173,Adenine sulfate,321-30-2,741GJF3K9M
DB00175,Pravastatin sodium,81131-70-6,3M8608UQ61
DB00176,Fluvoxamine maleate,61718-82-9,5LGN83G74V
DB00180,Flunisolide hemihydrate,77326-96-6,QK4DYS664X
DB00181,Baclofen hydrochloride,28311-31-1,64OSE3996V
DB00182,Amphetamine adipate,64770-51-0,Z58RH02W4M
DB00182,Amphetamine aspartate,25333-81-7,H527KAP6L5
DB00182,Amphetamine aspartate monohydrate,851591-76-9,O1ZPV620O4
DB00182,Amphetamine sulfate,60-13-9,6DPV8NK46S
DB00184,Nicotine bitartrate,65-31-6,7892ZN5G41
DB00184,Nicotine bitartrate dihydrate,6019-06-3,R7M676M8YV
DB00185,Cevimeline hydrochloride,153504-70-2,P81Q6V85NP
DB00187,Esmolol hydrochloride,81161-17-3,V05260LC8D
DB00190,Carbidopa hydrate,38821-49-7,MNX7R8C5VO
DB00191,Phentermine hydrochloride,1197-21-3,0K2I505OTV
DB00192,Indecainide hydrochloride,73681-12-6,M76V0B96L5
DB00193,Tramadol hydrochloride,36282-47-0,9N7R477WCK
DB00195,Betaxolol hydrochloride,63659-19-8,6X97D2XT0O
DB00198,Oseltamivir phosphate,204255-11-8,4A3O49NGEZ
DB00199,Erythromycin estolate,3521-62-8,XRJ2P631HP
DB00199,Erythromycin ethylsuccinate,1264-62-6,1014KSJ86F
DB00199,Erythromycin gluceptate,23067-13-2,2AY21R0U64
DB00199,Erythromycin lactobionate,3847-29-8,33H58I7GLQ
DB00199,Erythromycin phosphate,4501-00-2,I8T8KU14X7
DB00199,Erythromycin stearate,643-22-1,LXW024X05M
DB00199,Erythromycin sulfate,7184-72-7,KVW9N83AME
DB00199,Erythromycin thiocyanate,7704-67-8,Y7A95YRI88
DB00200,Hydroxocobalamin acetate,22465-48-1,S535M27N3Q
DB00201,Caffeine citrate,69-22-7,U26EO4675Q
DB00202,Succinylcholine chloride,71-27-2,I9L0DDD30I
DB00202,Succinylcholine chloride dihydrate,6101-15-1,8L0S1G435E
DB00203,Sildenafil citrate,171599-83-0,BW9B0ZE037
DB00205,Pyrimethamine hydrochloride,19085-09-7,FDZ9T27VWT
DB00207,Azithromycin dihydrate,117772-70-0,5FD1131I7S
DB00207,Azithromycin hemiethanolate monohydrate,554432-19-8,S548K9P0TK
DB00207,Azithromycin monohydrate,121470-24-4,JTE4MNN1MD
DB00208,Ticlopidine hydrochloride,53885-35-1,A1L4914FMF
DB00209,Trospium chloride,10405-02-4,1E6682427E
DB00211,Midodrine hydrochloride,43218-56-0,59JV96YTXV
DB00213,Pantoprazole magnesium,199387-73-0,1AL13B11R4
DB00213,Pantoprazole magnesium dihydrate,,
DB00213,Pantoprazole magnesium hemipentahydrate,,
DB00213,Pantoprazole sodium,164579-32-2,6871619Q5X
DB00215,Citalopram hydrobromide,59729-32-7,I1E9D14F36
DB00216,Eletriptan hydrobromide,177834-92-3,M41W832TA3
DB00216,Eletriptan hydrobromide monohydrate,273211-28-2,4139X692FA
DB00217,Bethanidine sulfate,114-85-2,J4THI5N7O2
DB00218,Moxifloxacin hydrochloride,186826-86-8,C53598599T
DB00218,Moxifloxacin hydrochloride monohydrate,192927-63-2,B8956S8609
DB00219,Oxyphenonium bromide,50-10-2,S9421HWB3Z
DB00220,Nelfinavir mesylate,159989-65-8,98D603VP8V
DB00221,Isoetharine hydrochloride,2576-92-3,51V8U784H3
DB00221,Isoetharine mesylate,7279-75-6,DV74WJ5PJB
DB00223,Diflorasone diacetate,33564-31-7,7W2J09SCWX
DB00224,Indinavir monohydrate,180683-37-8,5W6YA9PKKH
DB00224,Indinavir sulfate,157810-81-6,771H53976Q
DB00224,Indinavir sulfate ethanolate,,34OB95C8AE
DB00225,Gadodiamide hydrate,122795-43-1,0RPE15QPL0
DB00226,Guanadrel sulfate,22195-34-2,MT147RMO91
DB00229,Cefotiam hydrochloride,66309-69-1,H7V12WDZ93
DB00231,Temazepam hydrochloride,97598-16-8,IA4EP07006
DB00231,Temazepam sulfate,31677-86-8,I1HX8463I0
DB00233,Aminosalicylate calcium,133-15-3,73I4QDW01W
DB00233,Aminosalicylate sodium anhydrous,133-10-8,T9ZKL3TNQF
DB00233,Calcium aminosalicylate trihydrate,6059-16-1,9VF16M7FWU
DB00233,Potassium aminosalicylate,133-09-5,7N21461LKD
DB00233,Sodium aminosalicylate dihydrate,6018-19-5,S38B9W6AXW
DB00234,Reboxetine mesilate,98769-84-7,L94J81YNNY
DB00235,Milrinone lactate,100286-97-3,9K8XR81MO8
DB00237,Butabarbital sodium,143-81-7,9WTD50I918
DB00238,Nevirapine hemihydrate,220988-26-1,B7XF2TD73C
DB00239,Oxiconazole nitrate,64211-46-7,RQ8UL4C17S
DB00240,Alclometasone dipropionate,66734-13-2,S56PQL4N1V
DB00241,Butalbital sodium,23554-70-3,BBH31P2ABJ
DB00243,Ranolazine hydrochloride,95635-56-6,F71253DJUN
DB00245,Benzatropine mesylate,132-17-2,WMJ8TL7510
DB00246,Ziprasidone hydrochloride,138982-67-9,216X081ORU
DB00246,Ziprasidone mesylate trihydrate,199191-69-0,3X6SAX83JZ
DB00247,Methysergide maleate,129-49-7,2U7H1466GH
DB00252,Phenytoin sodium,630-93-3,4182431BJH
DB00254,Doxycycline calcium,94088-85-4,8ZL07I20SB
DB00254,Doxycycline hyclate,24390-14-5,19XTS3T51U
DB00254,Doxycycline hydrochloride,10592-13-9,4182Z6T2ET
DB00254,Doxycycline monohydrate,17086-28-1,N12000U13O
DB00255,Diethylstilbestrol diphosphate,522-40-7,A0E0NMA80F
DB00255,Diethylstilbestrol diphosphate sodium,,
DB00258,Calcium acetate monohydrate,5743-26-0,7ZA48GIM5H
DB00261,Anagrelide hydrochloride,58579-51-4,VNS4435G39
DB00261,Anagrelide hydrochloride monohydrate,823178-43-4,YTM763Y5C8
DB00263,Sulfisoxazole diolamine,4299-60-9,30S4B46J8B
DB00264,Metoprolol fumarate,119637-66-0,IO1C09Z674
DB00264,Metoprolol succinate,98418-47-4,TH25PD4CCB
DB00264,Metoprolol tartrate,56392-17-7,W5S57Y3A5L
DB00267,Cefmenoxime hydrochloride,75738-58-8,NON736D32W
DB00268,Ropinirole Hydrochloride,91374-20-8,D7ZD41RZI9
DB00271,Diatrizoate meglumine,131-49-7,3X9MR4N98U
DB00271,Diatrizoate sodium,737-31-5,V5403H8VG7
DB00271,Diatrizoic acid dihydrate,50978-11-5,408463F217
DB00272,Betazole hydrochloride,138-92-1,66ABP6C83F
DB00273,Topiramate calcium,1246279-00-4,P956SY6RA6
DB00273,Topiramate potassium,488127-51-1,SMU8E1YBZ3
DB00273,Topiramate sodium,488127-49-7,N808MSN0PT
DB00274,Cefmetazole sodium,56796-39-5,37Y9VR4W7A
DB00275,Olmesartan medoxomil,144689-63-4,6M97XTV3HD
DB00276,Amsacrine gluconate,80277-07-2,M4P91439UZ
DB00276,Amsacrine hydrochloride,54301-15-4,U66HX4K4CO
DB00276,Amsacrine mesylate,54301-16-5,7LWQ0T63UA
DB00277,Theophylline sodium glycinate,8000-10-0,2S36N8T753
DB00278,Argatroban monohydrate,141396-28-3,IY90U61Z3S
DB00279,Liothyronine sodium,55-06-1,GCA9VV7D2N
DB00280,Disopyramide phosphate,22059-60-5,N6BOM1935W
DB00281,Lidocaine hydrochloride,6108-05-0,V13007Z41A
DB00281,Lidocaine hydrochloride anhydrous,73-78-9,EC2CNF7XFP
DB00282,Pamidronate Disodium,109552-15-0,C7S8VWP5DH
DB00283,Clemastine fumarate,14976-57-9,19259EGQ3D
DB00285,Venlafaxine besylate monohydrate,609345-59-7,18XP3YT5NH
DB00285,Venlafaxine hydrochloride,99300-78-4,7D7RX5A8MO
DB00289,Atomoxetine hydrochloride,82248-59-7,57WVB6I2W0
DB00290,Bleomycin hydrochloride,67763-87-5,7Z9O46JA4A
DB00290,Bleomycin sulfate,9041-93-4,7DP3NTV15T
DB00293,Raltitrexed disodium,,50VZN4BPUK
DB00295,Morphine acetate,596-15-6,VEO43W5229
DB00295,Morphine hydrochloride,52-26-6,J28GE0ROVX
DB00295,Morphine hydrochloride trihydrate,6055-06-7,Q5F3AS69LF
DB00295,Morphine mesylate,335328-17-1,QXB8THK8QY
DB00295,Morphine nitrate,596-16-7,DV2P23JCWV
DB00295,Morphine phosphate,596-17-8,1LQ9207LZE
DB00295,Morphine sulfate,64-31-3,DY70C97N30
DB00295,Morphine sulfate pentahydrate,6211-15-0,X3P646A2J0
DB00295,Morphine tartrate,302-31-8,U3NSU23LHD
DB00296,Ropivacaine hydrochloride,132112-35-7,V910P86109
DB00296,Ropivacaine hydrochloride anhydrous,98717-15-8,35504LBE2T
DB00297,Bupivacaine hydrochloride,73360-54-0,7TQO7W3VT8
DB00297,Bupivacaine hydrochloride anhydrous,18010-40-7,AKA908P8J1
DB00298,Dapiprazole hydrochloride,72822-13-0,DS9UJN1I0X
DB00299,Penciclovir sodium,97845-62-0,P06226385L
DB00300,Tenofovir disoproxil fumarate,202138-50-9,OTT9J7900I
DB00300,Tenofovir disoproxil maleate,1276030-80-8,7BI6HE4F8S
DB00300,Tenofovir disoproxil phosphate,1453166-76-1,05F4G8DO5I
DB00300,Tenofovir disoproxil succinate,1637632-97-3,94882WB39E
DB00301,Flucloxacillin sodium,34214-51-2,LMG7C674WJ
DB00303,Ertapenem sodium,153773-82-1,2T90KE67L0
DB00308,Ibutilide fumarate,122647-32-9,9L5X4M5L6I
DB00309,Vindesine sulfate,59917-39-4,CPH2U7DNDY
DB00312,Pentobarbital Sodium,57-33-0,NJJ0475N0S
DB00313,Divalproex sodium,76584-70-8,644VL95AO6
DB00313,Magnesium Valproate,62959-43-7,Q400352CM2
DB00313,Valproate sodium,1069-66-5,5VOM6GYJ0D
DB00314,Capreomycin sulfate,1405-37-4,9H8D3J7V21
DB00318,Codeine hydrobromide dihydrate,,
DB00318,Codeine hydrochloride,1422-07-7,406LPJ779Q
DB00318,Codeine monohydrate,6059-47-8,Q830PW7520
DB00318,Codeine phosphate,52-28-8,2X585M1M3T
DB00318,Codeine phosphate hemihydrate,41444-62-6,GSL05Y1MN6
DB00318,Codeine sulfate,6854-40-6,11QV9BS0CB
DB00318,Codeine sulfate anhydrous,1420-53-7,AVW5HY4N2E
DB00319,Piperacillin sodium,59703-84-3,M98T69Q7HP
DB00320,Dihydroergotamine mesylate,6190-39-2,81AXN7R2QT
DB00320,Dihydroergotamine tartrate,5989-77-5,76F2R89O7X
DB00321,Amitriptyline hydrochloride,549-18-8,26LUD4JO9K
DB00321,Amitriptyline pamoate,17086-03-2,YX6VNM127F
DB00324,Fluorometholone acetate,3801-06-7,9I50C3I3OK
DB00325,Sodium nitroprusside,13755-38-9,EAO03PE1TC
DB00327,Hydromorphone hydrochloride,71-68-1,L960UP2KRW
DB00327,Hydromorphone sulfate,25333-57-7,75Y990NH3Z
DB00328,Indomethacin sodium,74252-25-8,0IMX38M2GG
DB00330,Ethambutol hydrochloride,1070-11-7,QE4VW5FO07
DB00331,Metformin hydrochloride,1115-70-4,786Z46389E
DB00332,Ipratropium bromide anhydrous,22254-24-6,VJV4X1P2Z1
DB00332,Ipratropium bromide monohydrate,66985-17-9,J697UZ2A9J
DB00332,Ipratropium chloride,,
DB00333,Methadone hydrochloride,1095-90-5,229809935B
DB00334,Olanzapine hydrochloride,783334-36-1,0Q8K2L0MC3
DB00334,Olanzapine pamoate,221373-18-8,X7S6Q4MHCB
DB00334,Olanzapine tartrate,491828-16-1,0KNI3MFH5F
DB00338,Omeprazole magnesium,95382-33-5,426QFE7XLK
DB00338,Omeprazole sodium,95510-70-6,KV03YZ6QLW
DB00340,Metixene hydrochloride,7081-40-5,FRK5BSL54S
DB00341,Cetirizine hydrochloride,83881-52-1,64O047KTOA
DB00343,Diltiazem hydrochloride,33286-22-5,OLH94387TE
DB00343,Diltiazem malate,144604-00-2,14Y6444DRP
DB00343,Diltiazem maleate,139492-78-7,896626Q8XW
DB00344,Protriptyline hydrochloride,1225-55-4,44665V00O8
DB00345,Aminohippurate sodium,94-16-6,SUO3KVS1O9
DB00346,Alfuzosin hydrochloride,81403-68-1,75046A1XTN
DB00350,Minoxidil sulfate,210357-39-4,HM46T3593Q
DB00353,Methylergometrine maleate,57432-61-8,IR84JPZ1RK
DB00353,Methylergometrine tartrate,6209-37-6,5EDH242U9O
DB00354,Buclizine hydrochloride,129-74-8,58FQD093NU
DB00355,Aztreonam lysine,827611-49-4,XNM7LT65NP
DB00358,Mefloquine hydrochloride,51742-86-0,326VC85GV6
DB00359,Sulfadiazine sodium,547-32-0,84CS1P306F
DB00360,Sapropterin dihydrochloride,69056-38-8,RG277LF5B3
DB00361,Vinorelbine tartrate,125317-39-7,253GQW851Q
DB00363,Clozapine hydrochloride,54241-01-9,80862U56A3
DB00365,Grepafloxacin hydrochloride,161967-81-3,A4ER1Z8N9N
DB00366,Doxylamine succinate,562-10-7,V9BI9B5YI2
DB00368,Norepinephrine bitartrate,108341-18-0,IFY5PE3ZRW
DB00369,Cidofovir dihydrate,149394-66-1,JIL713Q00N
DB00370,Mirtazapine hemihydrate,,8Z5UNK8A61
DB00370,Mirtazapine hydrochloride,207516-99-2,42CIX4573G
DB00372,Thiethylperazine malate,52239-63-1,HP46XK89XB
DB00372,Thiethylperazine maleate,1179-69-7,RUK64CF26E
DB00373,Timolol hemihydrate,91524-16-2,817W3C6175
DB00373,Timolol maleate,26921-17-5,P8Y54F701R
DB00374,Treprostinil diolamine,830354-48-8,H1FKG90039
DB00374,Treprostinil sodium,289480-64-4,7JZ75N2NT6
DB00375,Colestipol hydrochloride,37296-80-3,X7D10K905G
DB00376,Trihexyphenidyl hydrochloride,52-49-3,AO61G82577
DB00377,Palonosetron hydrochloride,135729-62-3,23310D4I19
DB00379,Mexiletine hydrochloride,5370-01-4,606D60IS38
DB00380,Dexrazoxane hydrochloride,149003-01-0,5346058Q7S
DB00381,Amlodipine benzoate,1239916-29-0,XD75TQ8A2P
DB00381,Amlodipine besylate,111470-99-6,864V2Q084H
DB00381,Amlodipine camsylate,652969-01-2,0V8DBY3260
DB00381,Amlodipine maleate,88150-47-4,CQ27G2BZJM
DB00381,Amlodipine mesylate,246852-12-0,291Y33EZHA
DB00381,Amlodipine mesylate monohydrate,440358-84-9,FAS0DJC51V
DB00382,Tacrine Hydrochloride,1684-40-8,4966RNG0BU
DB00383,Oxyphencyclimine hydrochloride,125-52-0,GWO1432WOU
DB00387,Procyclidine hydrochloride,1508-76-5,CQC932Z7YW
DB00388,Phenylephrine bitartrate,17162-39-9,27O3Q5ML57
DB00388,Phenylephrine hydrochloride,61-76-7,04JA59TNSJ
DB00388,Phenylephrine tannate,1416-03-1,DU5ATO7HYP
DB00392,Ethopropazine hydrochloride,1094-08-2,O00T1I1VRN
DB00394,Beclomethasone dipropionate monohydrate,77011-63-3,4H7L9AI22I
DB00397,Phenylpropanolamine hydrochloride,154-41-6,8D5I63UE1Q
DB00398,Sorafenib tosylate,475207-59-1,5T62Q3B36J
DB00399,"Zoledronate D,L-Lysine Monohydrate",,
DB00399,Zoledronate disodium,165800-07-7,7D7GS1SA24
DB00399,Zoledronate trisodium,165800-08-8,ARL915IH66
DB00399,Zoledronic acid hemipentahydrate,,1K9U67HDID
DB00399,Zoledronic acid monohydrate,165800-06-6,6XC1PAD3KF
DB00403,Ceruletide diethylamine,71247-25-1,4E1MIA8QQL
DB00405,Dexbrompheniramine maleate,2391-03-9,BPA9UT29BS
DB00406,Gentian violet,548-62-9,J4Z741D6O5
DB00408,Loxapine hydrochloride,54810-23-0,376MYL4MAL
DB00408,Loxapine succinate,27833-64-3,X59SG0MRYU
DB00409,Remoxipride hydrochloride,117591-79-4,MH4OU8RWCW
DB00410,Mupirocin calcium,115074-43-6,RG38I2P540
DB00411,Carbamoylcholine chloride,51-83-2,8Y164V895Y
DB00412,Rosiglitazone Maleate,155141-29-0,KX2339DP44
DB00413,Pramipexole dihydrochloride monohydrate,191217-81-9,3D867NP06J
DB00413,Pramipexole hydrochloride,104632-25-9,4R2HD0M28N
DB00415,Ampicillin sodium,69-52-3,JFN36L5S8K
DB00415,Ampicillin trihydrate,7177-48-2,HXQ6A1N7R6
DB00417,Phenoxymethylpenicillin benzathine,5928-84-7,3T4EMH59ZU
DB00417,Phenoxymethylpenicillin potassium,132-98-9,146T0TU1JB
DB00418,Secobarbital sodium,309-43-3,XBP604F6UM
DB00419,Miglustat hydrochloride,210110-90-0,
DB00420,Promazine hydrochloride,53-60-1,U16EOR79U4
DB00422,Methylphenidate hydrochloride,23655-65-4,4B3SC438HI
DB00424,Hyoscyamine hydrobromide,306-03-6,IWT50P9S79
DB00424,Hyoscyamine sulfate,620-61-1,OB570Z127K
DB00424,Hyoscyamine sulfate dihydrate,6835-16-1,F2R8V82B84
DB00425,Zolpidem tartrate,99294-93-6,WY6W63843K
DB00427,Triprolidine hydrochloride,550-70-9,NG7A104R3J
DB00427,Triprolidine hydrochloride monohydrate,6138-79-0,YAN7R5L890
DB00430,Cefpiramide sodium,74849-93-7,137KB7GYKB
DB00433,Prochlorperazine edisylate,1257-78-9,PG20W5VQZS
DB00433,Prochlorperazine maleate,84-02-6,I1T8O1JTL6
DB00433,Prochlorperazine mesilate,51888-09-6,531SH87H9N
DB00434,Cyproheptadine hydrochloride,969-33-5,0S9323MCT0
DB00437,Allopurinol sodium,17795-21-0,428673RC2Z
DB00438,Ceftazidime pentahydrate,78439-06-2,9M416Z9QNR
DB00438,Ceftazidime sodium,73547-61-2,CMC30V039K
DB00439,Cerivastatin sodium,143201-11-0,6Q18G1060S
DB00440,Trimethoprim hydrochloride,60834-30-2,9XE000OU9B
DB00440,Trimethoprim sulfate,56585-33-2,E377MF8EQ8
DB00441,Gemcitabine hydrochloride,122111-03-9,U347PV74IL
DB00442,Entecavir monohydrate,209216-23-9,5968Y6H45M
DB00442,Entecavir triphosphate,,
DB00443,Betamethasone acetate,987-24-6,TI05AO53L7
DB00443,Betamethasone benzoate,22298-29-9,877K0XW47A
DB00443,Betamethasone dipropionate,5593-20-4,826Y60901U
DB00443,Betamethasone sodium phosphate,151-73-5,7BK02SCL3W
DB00443,Betamethasone valerate,2152-44-5,9IFA5XM7R2
DB00445,Epirubicin hydrochloride,56390-09-1,22966TX7J5
DB00447,Loracarbef monohydrate,121961-22-6,3X11EVM5SU
DB00449,Dipivefrin hydrochloride,64019-93-8,5QTH9UHV0K
DB00451,Levothyroxine sodium,55-03-8,054I36CPMN
DB00451,Levothyroxine sodium pentahydrate,6106-07-6,9J765S329G
DB00452,Framycetin sulfate,4146-30-9,Y3720KZ4TQ
DB00454,Meperidine hydrochloride,50-13-5,N8E7F7Q170
DB00456,Cefalotin sodium,58-71-9,C22G6EYP8B
DB00457,Prazosin hydrochloride,19237-84-4,X0Z7454B90
DB00458,Imipramine hydrochloride,113-52-0,BKE5Q1J60U
DB00458,Imipramine pamoate,10075-24-8,MC34P30298
DB00465,Ketorolac tromethamine,74103-07-4,4EVE5946BQ
DB00468,Quinine citrate,752-72-7,L8D5LFU229
DB00468,Quinine hydrochloride,6119-47-7,711S8Y0T33
DB00468,Quinine phosphate,549-60-0,0E9UD56A3I
DB00468,Quinine sulfate,804-63-7,M4XCR57IWG
DB00471,Montelukast sodium,151767-02-1,U1O3J18SFL
DB00472,Fluoxetine hydrochloride,56296-78-7,I9W7N6B1KJ
DB00473,Hexylcaine hydrochloride,532-76-3,V00NQ7SDYI
DB00474,Methohexital sodium,309-36-4,60200PNZ7Q
DB00475,Chlordiazepoxide hydrochloride,438-41-5,MFM6K1XWDK
DB00476,Duloxetine hydrochloride,136434-34-9,9044SC542W
DB00477,Chlorpromazine hydrochloride,69-09-0,9WP59609J6
DB00478,Rimantadine hydrochloride,1501-84-4,JEI07OOS8Y
DB00479,Amikacin sulfate,39831-55-5,N6M33094FD
DB00480,Lenalidomide hydrochloride monohydrate,,
DB00481,Raloxifene Hydrochloride,82640-04-8,4F86W47BR6
DB00484,Brimonidine tartrate,70359-46-5,4S9CL2DY2H
DB00485,Dicloxacillin sodium,13412-64-1,4HZT2V9KX0
DB00485,Dicloxacillin sodium anhydrous,343-55-5,4CKS6MOL6Z
DB00487,Pefloxacin mesylate,70458-95-6,5IAD0UV3FH
DB00487,Pefloxacin mesylate dihydrate,149676-40-4,CX28QC6FU0
DB00489,Sotalol hydrochloride,959-24-0,HEC37C70XX
DB00490,Buspirone hydrochloride,33386-08-2,207LT9J9OC
DB00492,Fosinopril sodium,88889-14-9,NW2RTH6T2N
DB00493,Cefotaxime sodium,64485-93-4,258J72S7TZ
DB00496,Darifenacin hydrobromide,133099-07-7,CR02EYQ8GV
DB00497,Oxycodone hydrochloride,124-90-3,C1ENJ2TE6C
DB00497,Oxycodone terephthalate,124133-68-2,M04XWV43UF
DB00500,Tolmetin sodium,64490-92-2,WL259637KX
DB00501,Cimetidine hydrochloride,70059-30-2,WF10491673
DB00502,Haloperidol decanoate,74050-97-8,AC20PJ4101
DB00502,Haloperidol lactate,53515-91-6,6387S86PK3
DB00504,Levallorphan tartrate,71-82-9,U0VSF7HTN0
DB00505,Tridihexethyl chloride,4310-35-4,25YK75CYMX
DB00508,Triflupromazine hydrochloride,1098-60-8,9E75N4A5HM
DB00509,Dextrothyroxine sodium,7054-08-2,0H00N2AHSP
DB00512,Vancomycin hydrochloride,1404-93-9,71WO621TJD
DB00514,Dextromethorphan hydriodide,7487-74-3,086F8ZEM77
DB00514,Dextromethorphan hydrobromide,125-69-9,Z0CG3115FG
DB00514,Dextromethorphan hydrobromide monohydrate,6700-34-1,9D2RTI9KYH
DB00514,Dextromethorphan hydrochloride,18609-21-7,351KFH969D
DB00519,Trandolapril hydrochloride,87725-72-2,3EY8XK2J4T
DB00520,Caspofungin acetate,179463-17-3,VUW370O5QE
DB00521,Carteolol hydrochloride,51781-21-6,4797W6I0T4
DB00527,Cinchocaine hydrochloride,61-12-1,Z97702A5DG
DB00528,Lercanidipine hydrochloride,132866-11-6,OA8TFX68PE
DB00529,Foscarnet sodium,63585-09-1,8C5OQ81LWT
DB00530,Erlotinib hydrochloride,183319-69-9,DA87705X9K
DB00531,Cyclophosphamide monohydrate,6055-19-2,8N3DW7272P
DB00535,Cefdinir monohydrate,213978-34-8,6E7SN358SE
DB00536,Guanidine hydrochloride,50-01-1,3YQC9ZY4YB
DB00537,Ciprofloxacin hydrochloride,86393-32-0,4BA73M5E37
DB00537,Ciprofloxacin lactate,96186-80-0,UEY6XFC224
DB00539,Toremifene citrate,89778-27-8,2498Y783QT
DB00540,Nortriptyline hydrochloride,894-71-3,00FN6IH15D
DB00541,Vincristine sulfate,2068-78-2,T5IRO3534A
DB00542,Benazepril hydrochloride,86541-74-4,N1SN99T69T
DB00544,Fluorouracil sodium,14787-18-9,PM476L7O8G
DB00545,Pyridostigmine bromide,101-26-8,KVI301NA53
DB00545,Pyridostigmine chloride,7681-22-3,45X1P9AO69
DB00546,Adinazolam mesylate,57938-82-6,NT8S62A727
DB00557,Hydroxyzine hydrochloride,2192-20-3,76755771U3
DB00557,Hydroxyzine pamoate,10246-75-0,M20215MUFR
DB00559,Bosentan monohydrate,157212-55-0,Q326023R30
DB00561,Doxapram hydrochloride,7081-53-0,P5RU6UOQ5Y
DB00563,Methotrexate sodium,7413-34-5,3IG1E710ZN
DB00565,Cisatracurium besylate,96946-42-8,80YS8O1MBS
DB00567,Cefalexin hydrochloride,105879-42-3,6VJE5G3D98
DB00567,Cefalexin monohydrate,23325-78-2,OBN7UDS42Y
DB00567,Cefalexin sodium,38932-40-0,F78YJG0WXK
