drugbank_id,synonym,language,coder
DB00030,Insulin recombinant human,english,
DB00030,Insulin recombinant purified human,english,
DB00030,Insulin regular,english,
DB00030,"Insulin, human",english,
DB00030,Insulina regular,spanish,
DB00030,Neutral insulin,english,
DB00030,"Regular Insulin, human",english,
DB00030,Soluble insulin,english,
DB00031,Tenecteplasa,spanish,
DB00031,Tenecteplase,english,inn/usan
DB00031,TNK-tPA,english,
DB00032,Human menopausal gonadotrophin,english,
DB00032,Menotrophin,english,
DB00032,Menotropin,english,
DB00032,Menotropina,spanish,
DB00032,Menotropins (FSH;LH),english,
DB00033,IFN-gamma 1b,english,
DB00033,IFN-gamma-1b,english,
DB00033,Interferon gamma 1-b,english,
DB00033,Interferon gamma-1b,english,inn/ban/usan
DB00033,"Interferon gamma-1b, recombinant",english,
DB00033,Interferon gamma-2a,english,
DB00034,Interferon alfa-2a,english,inn/ban/usan
DB00034,Interferon alfa-2a (genetical recombination),english,
DB00034,Interferon alfa-2a (recombinant),english,
DB00034,"Interferon alfa-2a, recombinant",english,
DB00034,"Interferon alfa-2a,recombinant",english,
DB00034,Interferon alpha-2a,english,
DB00034,Interferon-alfa-2a,english,
DB00034,Recombinant human interferon alfa-2a,english,
DB00034,Recombinant human interferon-alfa-2a,english,
DB00034,rIFN-alpha-2a,english,
DB00034,SH-polypeptide-46,english,
DB00035,1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin,english,
DB00035,1-deamino-8-D-arginine vasopressin,english,
DB00035,1-desamino-8-D-arginine vasopressin,english,
DB00035,dDAVP,english,
DB00035,Desmopresina,spanish,inn
DB00035,Desmopressin,english,inn
DB00035,Desmopressine,french,inn
DB00035,Desmopressinum,latin,inn
DB00036,Coagulation factor VIIa,english,
DB00036,Coagulation factor VIIa (recombinant),english,
DB00036,Coagulation factor VIIa (recombinant)-jncw,english,
DB00036,Eptacog alfa,english,
DB00036,Eptacog alfa (activated),english,
DB00036,rFVIIa,english,
DB00038,IL-11,english,
DB00038,Interleukin 11,english,
DB00038,Interleukin-11,english,
DB00038,Oprelvekin,english,inn/jan/usan
DB00038,Recombinant interleukin-11,english,
DB00039,24-163 fibroblast growth factor 7 (human),english,
DB00039,Palifermin,english,inn/usan
DB00039,Palifermina,spanish,
DB00040,Glucagon,english,inn/jan/usp
DB00040,Glucagon (recombinant dna origin),english,
DB00040,Glucagon recombinant,english,
DB00040,"Glucagon, human",english,
DB00040,"Glucagon, porcine",english,
DB00040,Glucagone,english,
DB00040,Glucagonum,latin,inn
DB00041,125-L-serine-2-133-interleukin 2 (human reduced),english,
DB00041,Aldesleukin,english,inn/usan
DB00041,Aldesleukina,spanish,
DB00041,ILT-101,english,
DB00041,ILT101,english,
DB00041,Interleukin-2 aldesleukin,english,
DB00041,"Interleukin-2(2-133),125-ser",english,
DB00041,Recombinant human interleukin-2,english,
DB00041,Recombinant interleukin-2 human,english,
DB00042,Botulin B,english,
DB00042,Botulinum antitoxin type B,english,
DB00042,Botulinum B toxin,english,
DB00042,Botulinum neurotoxin type B precursor,english,
DB00042,Botulinum toxin type B,english,jan
DB00042,BTX-B,english,
DB00042,RimabotulinumtoxinB,english,usan
DB00042,Toxina botulínica B,spanish,
DB00043,Omalizumab,english,inn/jan/usan
DB00043,RHUMAB-E25,english,
DB00044,Lutropin alfa,english,inn/usan
DB00044,Lutropin alpha,english,
DB00044,Lutropina alfa,spanish,
DB00045,Lipoprotein OspA antigen recombinant,english,
DB00045,Lipoprotein outer surface a borrelia burgdorferi antigen,english,
DB00045,OspA lipoprotein,english,
DB00046,Insulin lispro,english,inn/usan/usp
DB00046,Insulin lispro (genetical recombination),english,
DB00046,Insulin lispro (rDNA origin),english,
DB00046,Insulin lispro protamine,english,
DB00046,Insulin lispro protamine recombinant,english,
DB00046,Insulin lispro recombinant,english,
DB00046,insulin lispro-aabc,english,
DB00046,"Insulin,lispro,human/rDNA",english,
DB00046,"Insulin,lispro,protamine/rDNA",english,
DB00046,Insulina lispro,spanish,
DB00047,Insulin glargine,english,inn/usan
DB00047,Insulin glargine (rDNA origin),english,
DB00047,Insulin glargine recombinant,english,
DB00047,insulin glargine-yfgn,english,
DB00047,Insulina glargina,spanish,
DB00048,Clostridiopeptidase A,english,
DB00048,Clostridium histolyticum enzymes,english,
DB00048,Collagenase,english,
DB00048,Collagenase clostridium histolyticum,english,usan
DB00048,collagenase clostridium histolyticum-aaes,english,
DB00049,Rasburicasa,spanish,
DB00049,Rasburicase,english,inn/jan/usan
DB00049,Recombinant urate oxidase,english,
DB00049,Urate oxidase,english,
DB00050,Cetrorelix,english,inn/ban
DB00050,Cetrorelixum,latin,inn
DB00051,Adalimumab,english,inn/usan
DB00051,Adalimumab (genetical recombination),english,
DB00051,adalimumab-adaz,english,
DB00051,adalimumab-adbm,english,
DB00051,adalimumab-afzb,english,
DB00051,adalimumab-atto,english,
DB00051,adalimumab-bwwd,english,
DB00051,adalimumab-fkjp,english,
DB00052,Growth hormone,english,
DB00052,Growth hormone (human),english,
DB00052,hGH,english,
DB00052,Human growth hormone,english,
DB00052,Recombinant human growth hormone,english,
DB00052,rhGH,english,
DB00052,Somatotropin (human),english,
DB00052,Somatotropin human,english,
DB00052,Somatotropin human growth hormone,english,
DB00052,Somatropin,english,
DB00052,Somatropin (rDNA origin),english,
DB00052,Somatropin (recombinant DNA origin),english,
DB00052,Somatropin [rDNA origin],english,
DB00052,Somatropin recombinant,english,
DB00052,Somatropin(recombinant DNA origin),english,
DB00052,Somatropina,spanish,
DB00053,Imiglucerasa,spanish,
DB00053,Imiglucerase,english,inn/usan
DB00054,Abciximab,english,inn/usan
DB00054,Abciximab (genetical recombination),english,
DB00054,c7E3,english,
DB00055,Activated protein C,english,
DB00055,Blood coagulation factor XIV (human),english,
DB00055,Drotrecogin alfa (activated),english,
DB00055,"Drotrecogin alfa (activated), lyophilized",english,
DB00055,Drotrecogin alfa activated,english,
DB00055,"Drotrecogin alfa, activated",english,
DB00055,Drotrecogin-alfa,english,
DB00055,Recombinant human activated protein C (rH-APC),english,
DB00056,Gemtuzumab ozogamicin,english,inn/usan
DB00057,Indium (111In) satumomab pendetide,english,
DB00057,Indium In 111 satumomab pendetide,english,
DB00057,Indium-111 satumomab pendetide,english,
DB00058,.Alpha.-1 protease inhibitor,english,
DB00058,.Alpha.1-proteinase inhibitor human,english,
DB00058,122320-05-2,english,
DB00058,Alfa 1-proteinase inhibitor (human),english,
DB00058,Alfa-1-antitripsina,spanish,
DB00058,Alfa1 antitrypsin,english,
DB00058,Alpha 1-antitrypsin,english,
DB00058,Alpha 1-Proteinase Inhibitor,english,
DB00058,Alpha 1-proteinase inhibitor (human),english,
DB00058,Alpha 1-proteinase inhibitor human,english,
DB00058,"Alpha 1-proteinase inhibitor, human",english,
DB00058,Alpha-1 protease inhibitor,english,
DB00058,Alpha-1 proteinase inhibitor (human),english,
DB00058,Alpha-1-antiproteinase,english,
DB00058,Alpha-1-antitrypsin,english,
DB00058,Alpha-1-proteinase Inhibitor (human),english,
DB00058,Alpha-1-proteinase inhibitor human,english,
DB00058,"Alpha-1-proteinase Inhibitor, Human",english,
DB00058,"Alpha-1-proteinase inhibitor,human",english,
DB00058,Alpha1-proteinase Inhibitor,english,
DB00058,Alpha1-proteinase inhibitor (human),english,
DB00058,Alpha1-proteinase inhibitor human,english,
DB00058,Antileukoproteinase,english,
DB00058,API,english,
DB00058,Mucus proteinase inhibitor,english,
DB00058,Protease inhibitor wap4,english,
DB00058,Recombinant secretory leucocyte protease inhibitor,english,
DB00058,Recombinant secretory leukocyte protease inhibitor,english,
DB00058,Secretory leukocyte protease inhibitor (human),english,
DB00058,SLPI,english,
DB00058,Wap four-disulfide core domain protein 4,english,
DB00059,Peg-asparaginase,english,
DB00059,Peg/L-asparaginase,english,
DB00059,Pegaspargasa,spanish,
DB00059,Pegaspargase,english,inn/usan
DB00060,Interferon beta 1-a,english,
DB00060,Interferon beta 1a,english,
DB00060,Interferon beta-1a,english,usan
DB00060,Interferon beta-1a (recombinant human),english,
DB00060,Interferon beta-1a (recombinant),english,
DB00060,"Interferon beta-1a,recombinant",english,
DB00060,"Interferon beta, recombinant human",english,
DB00060,Interferon-beta-1a,english,
DB00060,SNG001,english,
DB00061,(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase,english,
DB00061,PEG-adenosine deaminase,english,
DB00061,pegADA,english,
DB00061,Pegademase,english,inn
DB00061,Pegademase bovine,english,
DB00062,Albumin (human),english,
DB00062,Albumin human,english,usp
DB00062,"Albumin, blood",english,
DB00062,"Albumin, human",english,
DB00062,"Albumin, human-kjda",english,
DB00062,Human albumin,english,
DB00062,Human serum albumin,english,
DB00062,Serum albumin,english,
DB00063,Eptifibatida,spanish,
DB00063,Eptifibatide,english,inn/ban
DB00063,Integrelin,english,
DB00063,Intrifiban,english,
DB00065,"IMMUNOGLOBULIN G (HUMAN-MOUSE MONOCLONAL CA2 HEAVY CHAIN ANTI-HUMAN TUMOR NECROSIS FACTOR), DISULFIDE WITH HUMAN-MOUSE MONOCLONAL CA2 LIGHT CHAIN, DIMER",english,
DB00065,Infliximab,english,inn/usan
DB00065,Infliximab (genetical recombination),english,
DB00065,Infliximab-abda,english,
DB00065,Infliximab-axxq,english,
DB00065,Infliximab-dyyb,english,
DB00065,Infliximab-qbtx,english,
DB00066,Folitropina alfa,spanish,
DB00066,Folitropina beta,spanish,
DB00066,Folitropina delta,spanish,
DB00066,Follicle stimulating hormone,english,
DB00066,Follitrophin alfa,english,
DB00066,Follitrophin alpha,english,
DB00066,Follitrophin beta,english,
DB00066,Follitropin alfa,english,
DB00066,Follitropin alfa/beta,english,
DB00066,Follitropin alpha,english,
DB00066,Follitropin beta,english,
DB00066,Follitropin delta,english,
DB00066,Follitropin gamma,english,
DB00066,Follotropin recombinant,english,
DB00066,FSH,english,
DB00066,FSH alpha,english,
DB00066,FSH-a,english,
DB00066,FSH-b,english,
DB00066,FSH-beta,english,
DB00066,Recombinant human follicle stimulating hormone beta,english,
DB00066,Recombinant human follicle-stimulating hormone (r-HFSH),english,
DB00066,rFSH-alpha,english,
DB00067,"Vasopressin, unspecified",english,
DB00067,Vasopressina,spanish,
DB00068,Interferon beta 1b (recombinant),english,
DB00068,Interferon beta-1b,english,usan
DB00068,"Interferon beta-1b,recombinant",english,
DB00068,Interferon-beta-1b,english,
DB00068,Recombinant interferon beta-1b,english,
DB00069,IFN Alfacon-1,english,
DB00069,IFN-Con1,english,
DB00069,Interferon alfacon-1,english,inn/usan
DB00070,"Hyaluronidase (glycoprotein, sheep testis isoenzyme)",english,
DB00070,Hyaluronidase (ovine),english,inn/ban/jan/usan/usp
DB00070,Hyaluronidase (sheep testis isoenzyme),english,
DB00070,"Hyaluronidase, ovine",english,
DB00070,Ovine hyaluronidase,english,
DB00071,Insulin (pork),english,
DB00071,Insulin porcine,english,
DB00071,Insulin purified porcine,english,
DB00071,Insulin purified pork,english,
DB00071,"Insulin, porcine",english,
DB00071,"Insulin, regular, pork",english,
DB00071,Porcine insulin,english,
DB00072,RHUMAB HER2,english,
DB00072,Trastuzumab,english,inn/usan
DB00072,trastuzumab-anns,english,
DB00072,trastuzumab-dkst,english,
DB00072,trastuzumab-dttb,english,
DB00072,trastuzumab-pkrb,english,
DB00072,trastuzumab-qyyp,english,
DB00073,Rituximab,english,inn/jan/usan
DB00073,rituximab-abbs,english,
DB00073,rituximab-arrx,english,
DB00073,rituximab-pvvr,english,
DB00074,Basiliximab,english,inn/jan/usan
DB00075,Anti-CD3,english,
DB00075,Muromonab-CD3,english,
DB00076,Digitalis antitoxin,english,
DB00076,"Digoxin Immune Fab, Ovine",english,
DB00076,Digoxin-specific Antibody Fragments,english,
DB00076,Ovine digoxin immune fab,english,
DB00078,Ibritumomab,english,
DB00078,Ibritumomab tiuxetan,english,inn/usan
DB00078,mAb Murine (IGG1) Anti P19437 (CD20_MOUSE),english,
DB00080,Daptomicina,spanish,inn
DB00080,Daptomycin,english,inn/jan/usan
DB00080,Daptomycine,french,inn
DB00080,Daptomycinum,latin,inn
DB00081,Tositumomab,english,inn
DB00082,Pegvisomant,english,inn/jan/usan
DB00083,AbobotulinumtoxinA,english,
DB00083,Botulinum A neurotoxin,english,
DB00083,Botulinum antitoxin type A,english,
DB00083,Botulinum toxin A,english,
DB00083,Botulinum toxin type A,english,jan
DB00083,BTX-A,english,
DB00083,EvabotulinumtoxinA,english,
DB00083,IncobotulinumtoxinA,english,
DB00083,OnabotulinumtoxinA,english,usan
DB00083,Prabotulinumtoxin A,english,
DB00083,Toxina botulínica A,spanish,
DB00083,Toxine botulinique A,french,
DB00085,Pancrealipase,english,
DB00085,Pancreatic extract pancrelipase,english,
DB00085,Pancreatic protease,english,
DB00085,Pancreatin,english,
DB00085,Pancreatinum,latin,
DB00085,Pancrelipase,english,jan/usan/usp
DB00085,Pancrelipase (amylase;lipase;protease),english,
DB00086,Estreptoquinasa,latin,inn
DB00086,Streptochinasi,italian,
DB00086,Streptococcal fibrinolysin,english,
DB00086,Streptokinase,english,inn/ban
DB00086,Streptokinasum,latin,inn
DB00087,Alemtuzumab,english,inn/usan
DB00088,Alglucerase,english,inn/jan/usan
DB00089,(111In)-Capromab pendetide,english,
DB00089,Capromab pendetide,english,usan
DB00089,Indium (111In) capromab pendetide,english,
DB00089,Indium 111 Capromab Pendetide,english,
DB00089,Indium In 111 capromab pendetide,english,
DB00090,alpha-L-Idosiduronase,english,
DB00090,Human Recombinant alpha-L-iduronidase,english,
DB00090,Laronidasa,spanish,
DB00090,Laronidase,english,inn/jan/usan
DB00090,Laronidase (genetical recombination),english,
DB00091,Ciclosporin,english,inn
DB00091,Ciclosporina,spanish,inn
DB00091,Ciclosporine,french,inn
DB00091,Ciclosporinum,latin,inn
DB00091,CsA,english,
DB00091,CyA,english,
DB00091,Cyclosporin,english,
DB00091,Cyclosporin A,english,
DB00091,Cyclosporine,english,usan/usp
DB00092,Alefacept,english,inn/usan
DB00093,2-(L-phenylalanine)-8-L-lysinevasopressin,english,
DB00093,Felipresina,spanish,inn
DB00093,Felypressin,english,inn/ban/usan
DB00093,Felypressine,french,inn
DB00093,Felypressinum,latin,inn
DB00093,PLV-2,english,
DB00094,Follitropin human,english,
DB00094,Urofollitrophin,english,
DB00094,Urofollitropin,english,inn/usan
DB00095,anti-CD11a,english,
DB00095,antiCD11 alpha,english,
DB00095,Efalizumab,english,inn/usan
DB00097,Choriogonadotropin alfa,english,inn/jan/usan
DB00097,Choriogonadotropin alpha,english,
DB00097,Chorionic gonadotropin (recombinant),english,
DB00098,"Anti-human thymocyte immunoglobulin, rabbit",english,
DB00098,"Anti-T-lymphocyte immune globulin, rabbit",english,
DB00098,Anti-thymocyte globulin (rabbit),english,
DB00098,Anti-thymocyte globulin rabbit,english,
DB00098,Antithymocyte immunoglobulin,english,
DB00098,Lapine T-lymphocyte immune globulin,english,
DB00098,Rabbit anti-human thymocyte globulin,english,
DB00098,Rabbit anti-human thymocyte globulin (rATG),english,
DB00098,Rabbit anti-human thymocyte immunoglobulin,english,
DB00098,Rabbit anti-thymocyte immunoglobulin,english,
DB00098,Rabbit antithymocyte globulin,english,
DB00098,Rabbit ATG,english,
DB00098,rATG,english,
DB00098,Thymoglobulin,english,
DB00098,Thymoglobuline,english,
DB00099,Filgrastim,english,inn/jan/usan
DB00099,Filgrastim-aafi,english,
DB00099,Filgrastim-sndz,english,
DB00099,G-CSF ,english,
DB00099,Granulocyte Colony Stimulating Factor ,english,
DB00099,Tbo-filgrastim,english,
DB00100,Coagulation factor IX (recombinant),english,
DB00100,Coagulation factor IX recombinant human,english,
DB00100,"Coagulation factor IX, recombinant",english,
DB00100,Factor IX (Recombinant),english,
DB00100,nonacog alfa,english,
DB00100,nonacog gamma,english,
DB00100,Recombinant factor IX,english,
DB00102,Becaplermin,english,inn/usan
DB00102,PDGF-2,english,
DB00102,PDGF-BB,english,
DB00102,PDGFB,english,
DB00102,"Platelet-derived growth factor BB, recombinant",english,
DB00102,Platelet-derived growth factor beta polypeptide,english,
DB00102,Recombinant platelet-derived growth factor BB,english,
DB00102,rhPDGF-BB,english,
DB00102,rPDGF-BB,english,
DB00102,SH-POLYPEPTIDE-59,english,
DB00103,Agalsidasa beta,spanish,inn
DB00103,Agalsidase beta,english,inn
DB00103,Agalsidase beta (genetical recombination),english,jan
DB00104,Octreotida,spanish,
DB00104,Octreotide,english,inn/usan
DB00104,Octreotidum,latin,
DB00104,Octrotide,english,
DB00105,Interferon alfa-2b,english,inn/usan
DB00105,Interferon alfa-2b (recombinant),english,
DB00105,"Interferon alfa-2b, recombinant",english,
DB00105,Interferon alpha-2B,english,
DB00105,Interferon α-2b,english,
DB00105,Intron (Interferon α2b),english,
DB00105,Intron A,english,
DB00105,Intron A (Interferon α2b),english,
DB00105,r-INF-alpha,english,
DB00105,rIFN-alpha-2b,english,
DB00106,Abarelix,english,inn/usan
DB00107,Oxitocina,spanish,
DB00107,Oxytocin,english,inn/jan/usp
DB00108,Anti-alpha4 integrin,english,
DB00108,Anti-VLA4,english,
DB00108,"IMMUNOGLOBULIN G4 (HUMAN-MOUSE MONOCLONAL AN100226 4-CHAIN ANTI-HUMAN INTEGRIN 4), DISULFIDE WITH HUMAN-MOUSE MONOCLONAL AN100226 LIGHT CHAIN, DIMER",english,
DB00108,"IMMUNOGLOBULIN G4 (HUMAN-MOUSE MONOCLONAL AN100226 4-CHAIN ANTI-HUMAN INTEGRIN 4), DISULPHIDE WITH HUMAN-MOUSE MONOCLONAL AN100226 LIGHT CHAIN, DIMER",english,
DB00108,Natalizumab,english,inn/jan/usan
DB00108,natalizumab-sztn,english,
DB00109,Enfuvirtida,spanish,
DB00109,Enfuvirtide,english,inn/usan
DB00110,Palivizumab,english,inn/ban/jan/usan
DB00111,Dacliximab,english,
DB00111,Daclizumab,english,inn/usan
DB00111,Daclizumab beta,english,
DB00112,Anti-VEGF Humanized Monoclonal Antibody,english,
DB00112,Anti-VEGF monoclonal antibody,english,
DB00112,Bevacizumab,english,inn/jan/usan
DB00112,bevacizumab-awwb,english,
DB00112,rhuMAb-VEGF,english,
DB00113,Arcitumomab technetium-99m,english,
DB00113,Technetium (99mTc) arcitumomab,english,
DB00113,Technetium Tc 99m arcitumomab,english,
DB00113,Technetium-99m arcitumomab,english,
DB00114,3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde,english,
DB00114,3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate,english,
DB00114,Codecarboxylase,english,
DB00114,PLP,english,
DB00114,Pyridoxal 5-monophosphoric acid ester,english,
DB00114,Pyridoxal 5-phosphate,english,
DB00114,Pyridoxal 5'-phosphate,english,
DB00114,Pyridoxal P,english,
DB00114,Pyridoxal phosphate anhydrous,english,
DB00114,Pyridoxal-5P,english,
DB00114,Pyridoxal-P,english,
DB00115,Cianocobalamina,spanish,inn
DB00115,Cyanocob(III)alamin,english,
DB00115,Cyanocobalamin,english,inn/jan/usp
DB00115,Cyanocobalamine,french,inn
DB00115,Cyanocobalaminum,latin,inn
DB00115,Vitamin B12,english,
DB00115,Vitamin B12 complex,english,
DB00115,Vitamin B12 NOS,english,
DB00116,"5,6,7,8-tetrahydrofolate",english,
DB00116,"5,6,7,8-tetrahydrofolic acid",english,
DB00116,Tetrahydrofolate,english,
DB00117,(S)-4-(2-Amino-2-carboxyethyl)imidazole,english,
DB00117,(S)-a-Amino-1H-imidazole-4-propanoic acid,english,
DB00117,(S)-alpha-amino-1H-Imidazole-4-propanoic acid,english,
DB00117,(S)-alpha-Amino-1H-imidazole-4-propionic acid,english,
DB00117,(S)-α-amino-1H-Imidazole-4-propanoic acid,english,
DB00117,HIS,english,
DB00117,Histidina,spanish,
DB00117,Histidine,english,inn/usan/usp
DB00117,L-(−)-histidine,english,
